variable,label,N,Mean,SD,Min,Median,Max
Emp_sum,Employment total,10563,7.8671,1.4163,1.0986,7.8513,13.1157
Emp_h,High-skill employee share,9054,0.3984,0.2502,0.0000,0.3360,1.0000
Emp_l,Low-skill employee share,9054,0.5869,0.2553,0.0000,0.6527,1.0000
AI,Firm intelligent transformation,10563,0.5251,0.7828,0.0000,0.0899,5.5000
Overedu,Industry overeducation rate,10563,0.1925,0.0768,0.0076,0.2113,0.7591
Debt,Leverage,10563,0.4757,0.2194,0.0091,0.4765,0.9792
ATO,Asset turnover,10563,0.6515,0.5725,0.0006,0.5331,12.5652
lnSale,Sales size,10563,21.7627,1.6632,11.0526,21.6660,28.3513
lnNfa,Fixed assets size,10563,20.4128,1.9330,7.1970,20.3870,26.6575
Cap,Capital-labor ratio,10563,14.6703,1.1148,8.6272,14.5184,19.6799
EntLerner,Firm Lerner index,10563,0.1263,0.2020,-0.5375,0.0971,1.0000
lnExecpay,Executive pay,10563,14.9802,0.9107,10.5966,14.9586,18.7452
HHI_C1,Industry concentration,10563,0.0996,0.1193,0.0175,0.0606,1.0000
lnPop,City population size,10563,6.5733,0.7922,1.6193,6.6381,8.1001
Pgdpgr,Per-capita GDP growth,10563,0.0074,0.0099,-0.0427,0.0078,0.0810
